# Article mentions confirmed by hand (Roman, 2026-09-15): bar slug -> article slug.
# Every pair confirmed by reading the article and quoting the sentence. Read by
# scripts/build-article-mentions.mjs as the per-article allowlist, so generic
# names on this list are linked and survive regeneration. Add a line to link a
# pair; remove one with a reason in the changelog.
#
# dante-beverly-hills: assigned here rather than in the review file, because
# the review matched the New York row; these two articles are about the
# Los Angeles room.
dante-beverly-hills -> top-10-bars-in-los-angeles-2026
dante-beverly-hills -> dante-in-beverly-hills
1920 -> top-10-bars-in-dubai-2025
1930 -> europes-50-best-bars-2026-line-athens-number-one
1930 -> worlds-50-best-bars-2025-bar-leone-tops-the-list
1930 -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
1930 -> martina-bonci
1930 -> mirror-hospitality-expo-2024
aldea -> europes-50-best-bars-2026-line-athens-number-one
aldea -> paradiso-sustainability-summit-2025
amaro -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
angelita -> europes-50-best-bars-2026-line-athens-number-one
angelita -> paradiso-sustainability-summit-2025
angelita -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
angelita -> top-10-nominees-for-the-2024-spirited-awards
arca -> north-americas-50-best-bars-2026-the-extended-list
arca -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
arca -> arca
arca -> top-10-nominees-for-the-2024-spirited-awards
argo -> spirited-awards-2026-winners-tales-of-the-cocktail
argo -> top-10-bars-in-hong-kong-for-2026
argo -> worlds-50-best-bars-reveals-51-100-list-for-2025
argo -> asias-50-best-bars-2025-names-bar-leone-no-1-again
argo -> the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100
argo -> top-10-nominees-for-the-2024-spirited-awards
artifact -> asias-50-best-bars-2026-wynn-macau-host-partner
artifact -> bar-world-100-2025-full-list-of-global-influencers
atlas -> top-10-bars-in-singapore-2026
atlas -> world-gin-week-2026-debut
atlas -> handshake-speakeasy-no-1-at-worlds-50-best-bars-2024
atlas -> artful-bar-design
avoca -> asias-50-best-bars-2026-wynn-macau-host-partner
bar-de-vie -> spirited-awards-2026-winners-tales-of-the-cocktail
bar-de-vie -> europes-50-best-bars-2026-line-athens-number-one
bar-de-vie -> bar-world-100-2025-full-list-of-global-influencers
bar-de-vie -> paradiso-sustainability-summit-2025
bar-us -> worlds-best-bars-head-to-stockholm-for-bca-week
bar-us -> worlds-50-best-bars-2025-bar-leone-tops-the-list
bar-us -> wing-lei-bars-unity-cocktail-menu-celebrates-global-flavors
